{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-2', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-2', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-3', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-3', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-3', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-4', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-4', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-5', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-5', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-6', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-6', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-6', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-7', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-7', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-7', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-8', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-8', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-9', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-9', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-9', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-10', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-10', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-10', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-11', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-11', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-12', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-12', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-12', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-13', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-13', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-14', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-14', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-15', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-15', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-15', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-16', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-16', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-17', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-17', 'flow_three': '0.0'}
{'flow_one': '0.0', 'flow_two': '0.0', 'flow_four': '0.0', 'time': '23-11-1-17', 'flow_three': '0.0'}
