{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-1', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-2', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-2', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-3', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-3', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-4', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-4', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-4', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.6'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-5', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-5', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '496', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
{'engine_speed': '0.0', 'fluid_two': '0.0', 'fluid_four': '0.0', 'fluid_three': '0.0', 'time': '23-11-1-6', 'fluid_senven': '0.0', 'fluid_one': '0.0', 'fluid_eight': '0.0', 'oil_allowance': '500', 'fluid_six': '0.0', 'oil_pressure': '7.84', 'water_temperature': '66.5', 'fluid_five': '0.0', 'battery_voltage': '23.7'}
