{'5_flow_ch': '0.0', '3_flow_ch': '0.79', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.37', '6_flow_ch': '0.0', 'Number': 23231, 'time': '8-16-13-25', '2_flow_ch': '0.18', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.75', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.26', '6_flow_ch': '0.0', 'Number': 23232, 'time': '8-16-13-25', '2_flow_ch': '0.07', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.98', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.30', '6_flow_ch': '0.0', 'Number': 23233, 'time': '8-16-13-25', '2_flow_ch': '0.26', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.64', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.07', '6_flow_ch': '0.0', 'Number': 23234, 'time': '8-16-13-25', '2_flow_ch': '0.0', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '1.17', '7_flow_ch': '0.0', '4_flow_ch': '0.07', '1_flow_ch': '0.45', '6_flow_ch': '0.0', 'Number': 23235, 'time': '8-16-13-25', '2_flow_ch': '0.79', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.68', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.07', '6_flow_ch': '0.0', 'Number': 23236, 'time': '8-16-13-25', '2_flow_ch': '0.07', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.98', '7_flow_ch': '0.0', '4_flow_ch': '0.07', '1_flow_ch': '0.18', '6_flow_ch': '0.0', 'Number': 23237, 'time': '8-16-13-25', '2_flow_ch': '0.37', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.87', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.18', '6_flow_ch': '0.0', 'Number': 23238, 'time': '8-16-13-25', '2_flow_ch': '0.64', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '1.06', '7_flow_ch': '0.0', '4_flow_ch': '0.26', '1_flow_ch': '0.15', '6_flow_ch': '0.0', 'Number': 23239, 'time': '8-16-13-25', '2_flow_ch': '0.45', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.68', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.15', '6_flow_ch': '0.0', 'Number': 23240, 'time': '8-16-13-25', '2_flow_ch': '0.18', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.98', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23241, 'time': '8-16-13-25', '2_flow_ch': '0.45', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.87', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.03', '6_flow_ch': '0.0', 'Number': 23242, 'time': '8-16-13-25', '2_flow_ch': '0.37', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.75', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23243, 'time': '8-16-13-25', '2_flow_ch': '0.26', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '1.09', '7_flow_ch': '0.0', '4_flow_ch': '0.37', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23244, 'time': '8-16-13-25', '2_flow_ch': '0.60', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.68', '7_flow_ch': '0.0', '4_flow_ch': '0.15', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23245, 'time': '8-16-13-25', '2_flow_ch': '0.26', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.90', '7_flow_ch': '0.0', '4_flow_ch': '0.07', '1_flow_ch': '0.07', '6_flow_ch': '0.0', 'Number': 23246, 'time': '8-16-13-25', '2_flow_ch': '0.56', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.68', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23247, 'time': '8-16-13-25', '2_flow_ch': '0.37', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.98', '7_flow_ch': '0.0', '4_flow_ch': '0.64', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23248, 'time': '8-16-13-25', '2_flow_ch': '0.49', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.45', '7_flow_ch': '0.0', '4_flow_ch': '0.0', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23249, 'time': '8-16-13-25', '2_flow_ch': '0.18', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '1.09', '7_flow_ch': '0.0', '4_flow_ch': '0.75', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23250, 'time': '8-16-13-25', '2_flow_ch': '0.68', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.64', '7_flow_ch': '0.0', '4_flow_ch': '0.03', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23251, 'time': '8-16-13-25', '2_flow_ch': '0.37', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.79', '7_flow_ch': '0.0', '4_flow_ch': '0.37', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23252, 'time': '8-16-13-25', '2_flow_ch': '0.56', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.87', '7_flow_ch': '0.0', '4_flow_ch': '0.26', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23253, 'time': '8-16-13-25', '2_flow_ch': '0.68', '8_flow_ch': '0.0'}
{'5_flow_ch': '0.0', '3_flow_ch': '0.75', '7_flow_ch': '0.0', '4_flow_ch': '0.45', '1_flow_ch': '0.0', '6_flow_ch': '0.0', 'Number': 23254, 'time': '8-16-13-25', '2_flow_ch': '0.49', '8_flow_ch': '0.0'}
