{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-27'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-29'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-32'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-33'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-34'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '488', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-36'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-37'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-39'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-41'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-43'}
{'oil_pressure': '6.28', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-45'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-47'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-49'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-51'}
{'oil_pressure': '6.24', 'battery_voltage': '23.9', 'oil_allowance': '484', 'engine_speed': '0.0', 'water_temperature': '66.2', 'time': '8-16-13-53'}
