{'battery_voltage': '24.7', 'time': '8-16-54-27', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.7', 'time': '8-16-54-30', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.7', 'time': '8-16-54-32', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.7', 'time': '8-16-54-34', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.7', 'time': '8-16-54-37', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.7', 'time': '8-16-54-39', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-54-41', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-54-43', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-54-44', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-54-46', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-54-47', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-54-49', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-54-51', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-54-54', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-54-56', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-54-57', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-54-59', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-1', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-3', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-5', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '484'}
{'battery_voltage': '24.6', 'time': '8-16-55-6', 'water_temperature': '66.3', 'oil_pressure': '6.36', 'engine_speed': '0.0', 'oil_allowance': '488'}
{'battery_voltage': '24.6', 'time': '8-16-55-8', 'water_temperature': '66.3', 'oil_pressure': '6.4', 'engine_speed': '0.0', 'oil_allowance': '488'}
