{'5_flow_ch': '0.0', 'Number': 32721, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.53', '3_flow_ch': '0.75', '8_flow_ch': '0.0', 'time': '8-16-47-45', '1_flow_ch': '0.11'}
{'5_flow_ch': '0.0', 'Number': 32722, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.0', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32723, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.64', '3_flow_ch': '0.53', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32724, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.11', '3_flow_ch': '0.11', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32725, '2_flow_ch': '0.15', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.60', '3_flow_ch': '0.60', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32726, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.0', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32727, '2_flow_ch': '0.22', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.87', '3_flow_ch': '0.56', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32728, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.03', '3_flow_ch': '0.03', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32729, '2_flow_ch': '0.0', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.03', '3_flow_ch': '0.03', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32730, '2_flow_ch': '0.03', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.41', '3_flow_ch': '0.22', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
{'5_flow_ch': '0.0', 'Number': 32731, '2_flow_ch': '0.11', '7_flow_ch': '0.0', '6_flow_ch': '0.0', '4_flow_ch': '0.0', '3_flow_ch': '0.0', '8_flow_ch': '0.0', 'time': '8-16-47-46', '1_flow_ch': '0.0'}
