{'oil_allowance': '488', 'time': '8-16-47-48', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-47-50', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-47-52', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-47-54', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-47-56', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-47-58', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-0', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-2', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-4', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-5', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-8', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-11', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-13', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-14', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-16', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-18', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
{'oil_allowance': '488', 'time': '8-16-48-20', 'oil_pressure': '6.32', 'engine_speed': '0.0', 'battery_voltage': '24.3', 'water_temperature': '66.3'}
